,Time,mining level,exchange,price_usd
21349,2016-03-26,165496835118.22598,coinbase,416.507545648437
21350,2016-03-26,165496835118.22598,gemini,416.833901264155
21351,2016-03-26,165496835118.22598,hitbtc,431.67
21352,2016-03-26,165496835118.22598,kraken,417.049336940784
21353,2016-03-26,165496835118.22598,others,412.24859412290016
21355,2016-03-27,165496835118.22598,itbit,419.57905793801103
21356,2016-03-27,165496835118.22598,bitfinex,420.772371641498
21357,2016-03-27,165496835118.22598,cex.io,422.412614835952
21358,2016-03-27,165496835118.22598,exmo,418.61967212463895
21359,2016-03-27,165496835118.22598,coinbase,419.879660568097
21360,2016-03-27,165496835118.22598,gemini,420.480062220014
21361,2016-03-27,165496835118.22598,hitbtc,430.73114583333296
21362,2016-03-27,165496835118.22598,kraken,420.759608765482
21363,2016-03-27,165496835118.22598,others,419.8074769359076
21365,2016-03-28,165496835118.22598,itbit,423.109322383266
21366,2016-03-28,165496835118.22598,bitfinex,425.23497852882997
21367,2016-03-28,165496835118.22598,cex.io,425.785952152463
21368,2016-03-28,165496835118.22598,exmo,423.76646610171304
21369,2016-03-28,165496835118.22598,coinbase,422.720592824029
21370,2016-03-28,165496835118.22598,gemini,422.952112750912
21371,2016-03-28,165496835118.22598,hitbtc,430.178333333333
21372,2016-03-28,165496835118.22598,kraken,424.194713496032
21373,2016-03-28,165496835118.22598,others,421.58510365600563
21375,2016-03-29,165496835118.22598,itbit,417.889484826362
21376,2016-03-29,165496835118.22598,bitfinex,419.043916045978
21377,2016-03-29,165496835118.22598,cex.io,421.250176259003
21378,2016-03-29,165496835118.22598,exmo,421.426258384871
21379,2016-03-29,165496835118.22598,coinbase,418.364640521681
21380,2016-03-29,165496835118.22598,gemini,416.996417217891
21381,2016-03-29,165496835118.22598,hitbtc,430.215133333333
21382,2016-03-29,165496835118.22598,kraken,418.756541198648
21383,2016-03-29,165496835118.22598,others,417.2316274711181
21385,2016-03-30,165496835118.22598,itbit,413.27056112747704
21386,2016-03-30,165496835118.22598,bitfinex,413.603438506416
21387,2016-03-30,165496835118.22598,cex.io,417.434079865091
21388,2016-03-30,165496835118.22598,exmo,415.361450095682
21389,2016-03-30,165496835118.22598,coinbase,413.18061362625394
21390,2016-03-30,165496835118.22598,gemini,412.708753004305
21391,2016-03-30,165496835118.22598,hitbtc,428.59849206349196
21392,2016-03-30,165496835118.22598,kraken,413.003191796323
21393,2016-03-30,165496835118.22598,others,411.46438973921585
21395,2016-03-31,165496835118.22598,itbit,415.63037639303803
21396,2016-03-31,165496835118.22598,bitfinex,416.29273329865504
21397,2016-03-31,165496835118.22598,cex.io,419.04403666360395
21398,2016-03-31,165496835118.22598,exmo,416.62765436780404
21399,2016-03-31,165496835118.22598,coinbase,415.171441700188
21400,2016-03-31,165496835118.22598,gemini,415.659081790303
21401,2016-03-31,165496835118.22598,hitbtc,425.4405
21402,2016-03-31,165496835118.22598,kraken,416.369099244931
21403,2016-03-31,165496835118.22598,others,415.31213762924006
21405,2016-04-01,166851513282.77698,itbit,416.06143919551204
21406,2016-04-01,166851513282.77698,bitfinex,416.267270283322
21407,2016-04-01,166851513282.77698,cex.io,418.644294519745
21408,2016-04-01,166851513282.77698,exmo,416.519881566065
21409,2016-04-01,166851513282.77698,coinbase,416.223716403031
21410,2016-04-01,166851513282.77698,gemini,416.16460901961403
21411,2016-04-01,166851513282.77698,hitbtc,425.78940476190496
21412,2016-04-01,166851513282.77698,kraken,417.399858321567
21413,2016-04-01,166851513282.77698,others,413.1781613743897
21415,2016-04-02,166851513282.77698,itbit,419.318397986995
21416,2016-04-02,166851513282.77698,bitfinex,420.32344275404296
